emoji,english,category,subcategory,hebrew_masculine,translit_masculine,hebrew_feminine,translit_feminine
🇦🇲,Flag: Armenia,Flag,Asia,אַרְמֶנְיָה,armenya,,
🇦🇴,Flag: Angola,Flag,Africa,אַנְגּוֹלָה,angola,,
🇦🇶,Flag: Antarctica,Flag,Antarctica,אַנְטַרְקְטִיקָה,antarktika,,
🇦🇷,Flag: Argentina,Flag,South America,אַרְגֶּנְטִינָה,argentina,,
🇦🇸,Flag: American Samoa,Flag,Oceania,סָמוֹאָה הָאָמֵרִיקָאִית,samoa haamerikait,,
🇦🇹,Flag: Austria,Flag,Europe,אוֹסְטְרִיָּה,ostriya,,
🇦🇺,Flag: Australia,Flag,Oceania,אוֹסְטְרַלְיָה,ostralya,,
🇦🇼,Flag: Aruba,Flag,North America,אָרוּבָּה,aruba,,
🇦🇽,Flag: Aland Islands,Flag,Europe,אִיֵּי אוֹלַנְד,iyey oland,,
🇦🇿,Flag: Azerbaijan,Flag,Asia,אָזֶרְבַּיְגָּ'ן,azerbayga'n,,
🇧🇦,Flag: Bosnia & Herzegovina,Flag,Europe,בּוֹסְנִיָּה וְהֶרְצֶגוֹבִינָה,bosniya vehertzegovina,,
🇧🇧,Flag: Barbados,Flag,North America,בַּרְבָּדוֹס,barbados,,
🇧🇩,Flag: Bangladesh,Flag,Asia,בַּנְגְּלָדֶשׁ,bangladesh,,
🇧🇪,Flag: Belgium,Flag,Europe,בֶּלְגְּיָה,belgya,,
🇧🇫,Flag: Burkina Faso,Flag,Africa,בּוּרְקִינָה פָאסוֹ,burkina paso,,
🇧🇬,Flag: Bulgaria,Flag,Europe,בּוּלְגַּרְיָה,bulgarya,,
🇧🇭,Flag: Bahrain,Flag,Asia,בַּחְרֵיין,bachreyyn,,
🇧🇮,Flag: Burundi,Flag,Africa,בּוּרוּנְדִי,burundi,,
🇧🇯,Flag: Benin,Flag,Africa,בֶּנִין,benin,,
🇧🇱,Flag: St. Barthélemy,Flag,North America,סֶן בַּרְטֶלֶמִי,sen bartelemi,,
🇧🇲,Flag: Bermuda,Flag,North America,בֶּרְמוּדָה,bermuda,,
🇧🇳,Flag: Brunei,Flag,Asia,בְּרוּנֵיי,beruneyy,,
🇧🇴,Flag: Bolivia,Flag,South America,בּוֹלִיבְיָה,bolivya,,
🇧🇶,Flag: Caribbean Netherlands,Flag,North America,הוֹלַנְד הַקָּרִיבִּית,holand hakaribit,,
🇧🇷,Flag: Brazil,Flag,South America,בְּרָזִיל,berazil,,
🇧🇸,Flag: Bahamas,Flag,North America,בָּהָאמָה,bahama,,
🇧🇹,Flag: Bhutan,Flag,Asia,בּוּטָאן,butan,,
🇧🇻,Flag: Bouvet Island,Flag,Antarctica,אִי בּוּבֵה,i buve,,
🇧🇼,Flag: Botswana,Flag,Africa,בּוֹצְוָנָה,botzvana,,
🇧🇾,Flag: Belarus,Flag,Europe,בֵּלָרוּס,belarus,,
🇧🇿,Flag: Belize,Flag,North America,בֶּלִיז,beliz,,
🇨🇦,Flag: Canada,Flag,North America,קָנָדָה,kanada,,
🇨🇨,Flag: Cocos Islands,Flag,Oceania,אִיֵּי קוֹקוֹס,iyey kokos,,
🇨🇩,Flag: Congo - Kinshasa,Flag,Africa,קוֹנְגוֹ קִינְשָׁאסָה,kongo kinshasa,,
🇨🇫,Flag: Central African Republic,Flag,Africa,הָרֶפּוּבְּלִיקָה הָאַפְרִיקָאִית הַמֶּרְכָּזִית,harepublika haafrikait hamerkazit,,
🇨🇬,Flag: Congo - Brazzaville,Flag,Africa,קוֹנְגוֹ בְּרָזָוִיל,kongo berazavil,,
🇨🇭,Flag: Switzerland,Flag,Europe,שְׁוֵיץ,sheveytz,,
🇨🇮,Flag: Côte d'Ivoire,Flag,Africa,חוֹף הַשֶּׁנְהָב,chof hashenhav,,
🇨🇰,Flag: Cook Islands,Flag,Oceania,אִיֵּי קוּק,iyey kuk,,
🇨🇱,Flag: Chile,Flag,South America,צִ'ילֶה,tzi'yle,,
🇨🇲,Flag: Cameroon,Flag,Africa,קָמֵרוּן,kamerun,,
🇨🇳,Flag: China,Flag,Asia,סִין,sin,,
🇨🇴,Flag: Colombia,Flag,South America,קוֹלוֹמְבְּיָה,kolombya,,
🇨🇵,Flag: Clipperton Island,Flag,North America,אִי קְלִיפֶּרְטוֹן,i keliperton,,
🇨🇷,Flag: Costa Rica,Flag,North America,קוֹסְטָה רִיקָה,kosta rika,,
🇨🇺,Flag: Cuba,Flag,North America,קוּבָּה,kuba,,
🇨🇻,Flag: Cape Verde,Flag,Africa,כֵּף וֶרְדֶּה,kef verde,,
🇨🇼,Flag: Curaçao,Flag,North America,קוּרָסָאוֹ,kurasao,,
🇨🇽,Flag: Christmas Island,Flag,Oceania,אִי הַחַג,i hachag,,
🇨🇾,Flag: Cyprus,Flag,Asia,קַפְרִיסִין,kafrisin,,
🇨🇿,Flag: Czechia,Flag,Europe,צֶ'כְיָה,tze'chya,,
🇩🇪,Flag: Germany,Flag,Europe,גֶּרְמַנְיָה,germanya,,
🇩🇬,Flag: Diego Garcia,Flag,Asia,דְּיֵגוֹ גַּרְסִיָּה,deyego garsiya,,
🇩🇯,Flag: Djibouti,Flag,Africa,גִּ'יבּוּטִי,gi'ybuti,,
🇩🇰,Flag: Denmark,Flag,Europe,דֶּנְמַרְק,denmark,,
🇩🇲,Flag: Dominica,Flag,North America,דּוֹמִינִיקָה,dominika,,
🇩🇴,Flag: Dominican Republic,Flag,North America,הָרֶפּוּבְּלִיקָה הַדּוֹמִינִיקָנִית,harepublika hadominikanit,,
🇩🇿,Flag: Algeria,Flag,Africa,אַלְגֶּ'רְיָה,alge'rya,,
🇪🇦,Flag: Ceuta & Melilla,Flag,Africa,סֶאוּטָה וּמֵלִילָה,seuta umelila,,
🇪🇨,Flag: Ecuador,Flag,South America,אֶקְוָדוֹר,ekvador,,
🇪🇪,Flag: Estonia,Flag,Europe,אֶסְטוֹנְיָה,estonya,,
🇪🇬,Flag: Egypt,Flag,Africa,מִצְרַיִם,mitzrayim,,
🇪🇭,Flag: Western Sahara,Flag,Africa,סַהֲרָה הַמַּעֲרָבִית,sahara hamaaravit,,
🇪🇷,Flag: Eritrea,Flag,Africa,אֶרִיתְרֵאָה,eritrea,,
🇪🇸,Flag: Spain,Flag,Europe,סְפָרַד,sefarad,,
🇪🇹,Flag: Ethiopia,Flag,Africa,אֶתְיוֹפְּיָה,etyopya,,
🇪🇺,Flag: European Union,Flag,International,הָאִחוּד הָאֵירוֹפִּי,haichud haeyropi,,
🇫🇮,Flag: Finland,Flag,Europe,פִינְלַנְד,pinland,,
🇫🇯,Flag: Fiji,Flag,Oceania,פִיגִ'י,pigi'y,,
🇫🇰,Flag: Falkland Islands,Flag,South America,אִיֵּי פוֹקְלַנְד,iyey pokland,,
🇫🇲,Flag: Micronesia,Flag,Oceania,מִיקְרוֹנֶזְיָה,mikronezya,,
🇫🇴,Flag: Faroe Islands,Flag,Europe,אִיֵּי פֵרוֹ,iyey pero,,
🇫🇷,Flag: France,Flag,Europe,צָרְפַת,tzarfat,,
🇬🇦,Flag: Gabon,Flag,Africa,גָּבּוֹן,gabon,,
🇬🇧,Flag: United Kingdom,Flag,Europe,הַמַּמְלָכָה הַמְּאֻחֶדֶת,hamamlacha hamuchedet,,
🇬🇩,Flag: Grenada,Flag,North America,גְּרֶנָדָה,gerenada,,
🇬🇪,Flag: Georgia,Flag,Asia,גֵּאוֹרְגְּיָה,georgya,,
🇬🇫,Flag: French Guiana,Flag,South America,גִּיאָנָה הַצָּרְפָתִית,giyana hatzarfatit,,
🇬🇬,Flag: Guernsey,Flag,Europe,גֶּרְנְזִי,gernzi,,
🇬🇭,Flag: Ghana,Flag,Africa,גָּאנָה,gana,,
🇬🇮,Flag: Gibraltar,Flag,Europe,גִּיבְרַלְטָר,givraltar,,
🇬🇱,Flag: Greenland,Flag,North America,גְּרִינְלַנְד,gerinland,,
🇬🇲,Flag: Gambia,Flag,Africa,גַּמְבְּיָה,gambya,,
🇬🇳,Flag: Guinea,Flag,Africa,גִּינֵאָה,ginea,,
🇬🇵,Flag: Guadeloupe,Flag,North America,גוּאָדֵלוּפּ,guadelup,,
🇬🇶,Flag: Equatorial Guinea,Flag,Africa,גִּינֵאָה הַמַּשְׁוָנִית,ginea hamashvanit,,
🇬🇷,Flag: Greece,Flag,Europe,יָוָן,yavan,,
🇬🇸,Flag: South Georgia & South Sandwich Islands,Flag,Antarctica,דְּרוֹם גֵּ'ורְגְּיָה,derom ge'vrgya,,
🇬🇹,Flag: Guatemala,Flag,North America,גְּוָטֶמָלָה,gevatemala,,
🇬🇺,Flag: Guam,Flag,Oceania,גוּאָם,guam,,
🇬🇼,Flag: Guinea-Bissau,Flag,Africa,גִּינֵאָה בִּיסָאוּ,ginea bisau,,
🇬🇾,Flag: Guyana,Flag,South America,גַּיָאנָה,gayana,,
🇭🇰,Flag: Hong Kong,Flag,Asia,הוֹנְג קוֹנְג,hong kong,,
🇭🇲,Flag: Heard & McDonald Islands,Flag,Antarctica,אִיֵּי הֶרְד,iyey herd,,
🇭🇳,Flag: Honduras,Flag,North America,הוֹנְדּוּרַס,honduras,,
🇭🇷,Flag: Croatia,Flag,Europe,קְרוֹאַטְיָה,keroatya,,
🇭🇹,Flag: Haiti,Flag,North America,הָאִיטִי,haiti,,
🇭🇺,Flag: Hungary,Flag,Europe,הוּנְגַּרְיָה,hungarya,,
🇮🇨,Flag: Canary Islands,Flag,Africa,אִיֵּי קָנָרִי,iyey kanari,,
🇮🇩,Flag: Indonesia,Flag,Asia,אִינְדּוֹנֵזְיָה,indonezya,,
🇮🇪,Flag: Ireland,Flag,Europe,אִירְלַנְד,irland,,
🇮🇱,Flag: Israel,Flag,Asia,יִשְׂרָאֵל,yisrael,,
🇮🇲,Flag: Isle of Man,Flag,Europe,אִי מָאן,i man,,
🇮🇳,Flag: India,Flag,Asia,הוֹדּוּ,hodu,,
🇮🇴,Flag: British Indian Ocean Territory,Flag,Africa,הַטֶּרִיטוֹרְיָה הַבְּרִיטִית בְּאוֹקְיָנוֹס הוֹדּוּ,hateritorya habritit beokyanos hodu,,
🇮🇶,Flag: Iraq,Flag,Asia,עִירָאק,irak,,
🇮🇷,Flag: Iran,Flag,Asia,אִירָאן,iran,,
🇮🇸,Flag: Iceland,Flag,Europe,אִיסְלַנְד,island,,
🇮🇹,Flag: Italy,Flag,Europe,אִיטַלְיָה,italya,,
🇯🇪,Flag: Jersey,Flag,Europe,גֶּ'רְזִי,ge'rzi,,
🇯🇲,Flag: Jamaica,Flag,North America,גַּ'מַייקָה,ga'mayyka,,
🇯🇴,Flag: Jordan,Flag,Asia,יַרְדֵּן,yarden,,
🇯🇵,Flag: Japan,Flag,Asia,יָפָּן,yapan,,
🇰🇪,Flag: Kenya,Flag,Africa,קֶנְיָה,kenya,,
🇰🇬,Flag: Kyrgyzstan,Flag,Asia,קִירְגִּיזְסְטָן,kirgizstan,,
🇰🇭,Flag: Cambodia,Flag,Asia,קָמְבּוֹדְיָה,kambodya,,
🇰🇮,Flag: Kiribati,Flag,Oceania,קִירִיבָּטִי,kiribati,,
🇰🇲,Flag: Comoros,Flag,Africa,אִיֵּי קוֹמוֹרוֹ,iyey komoro,,
🇰🇳,Flag: St. Kitts & Nevis,Flag,North America,סֶנְט קִיטְס וְנֵוִיס,sent kits venevis,,
🇰🇵,Flag: North Korea,Flag,Asia,צְפוֹן קוֹרֵיאָה,tzefon koreya,,
🇰🇷,Flag: South Korea,Flag,Asia,דְּרוֹם קוֹרֵיאָה,derom koreya,,
🇰🇼,Flag: Kuwait,Flag,Asia,כֻּוֵייט,kuveyyt,,
🇰🇾,Flag: Cayman Islands,Flag,North America,אִיֵּי קַיְמָן,iyey kayman,,
🇰🇿,Flag: Kazakhstan,Flag,Asia,קָזַחְסְטָן,kazachstan,,
🇱🇦,Flag: Laos,Flag,Asia,לָאוֹס,laos,,
🇱🇧,Flag: Lebanon,Flag,Asia,לְבָנוֹן,levanon,,
🇱🇨,Flag: St. Lucia,Flag,North America,סֶנְט לוּסְיָה,sent lusya,,
🇱🇮,Flag: Liechtenstein,Flag,Europe,לִיכְטֶנְשְׁטֵיין,lichtenshteyyn,,
🇱🇰,Flag: Sri Lanka,Flag,Asia,סְרִי לַנְקָה,seri lanka,,
🇱🇷,Flag: Liberia,Flag,Africa,לִיבֶּרְיָה,liberya,,
🇱🇸,Flag: Lesotho,Flag,Africa,לֶסוֹטוֹ,lesoto,,
🇱🇹,Flag: Lithuania,Flag,Europe,לִיטָא,lita,,
🇱🇺,Flag: Luxembourg,Flag,Europe,לוּקְסֶמְבּוּרְג,luksemburg,,
🇱🇻,Flag: Latvia,Flag,Europe,לַטְבְיָה,latvya,,
🇱🇾,Flag: Libya,Flag,Africa,לוּב,luv,,
🇲🇦,Flag: Morocco,Flag,Africa,מָרוֹקוֹ,maroko,,
🇲🇨,Flag: Monaco,Flag,Europe,מוֹנָקוֹ,monako,,
🇲🇩,Flag: Moldova,Flag,Europe,מוֹלְדּוֹבָה,moldova,,
🇲🇪,Flag: Montenegro,Flag,Europe,מוֹנְטֶנֶגְרוֹ,montenegro,,
🇲🇫,Flag: St. Martin,Flag,North America,סֶנְט מַרְטֶן,sent marten,,
🇲🇬,Flag: Madagascar,Flag,Africa,מָדָגַסְקַר,madagaskar,,
🇲🇭,Flag: Marshall Islands,Flag,Oceania,אִיֵּי מַרְשַׁל,iyey marshal,,
🇲🇰,Flag: North Macedonia,Flag,Europe,צְפוֹן מָקֵדוֹנְיָה,tzefon makedonya,,
🇲🇱,Flag: Mali,Flag,Africa,מָאלִי,mali,,
🇲🇲,Flag: Myanmar,Flag,Asia,מְיָאנְמָר,meyanmar,,
🇲🇳,Flag: Mongolia,Flag,Asia,מוֹנְגּוֹלְיָה,mongolya,,
🇲🇴,Flag: Macao,Flag,Asia,מָקָאוֹ,makao,,
🇲🇵,Flag: Northern Mariana Islands,Flag,Oceania,אִיֵּי מַרְיָאנָה הַצְּפוֹנִיִּים,iyey maryana hatzfoniyim,,
🇲🇶,Flag: Martinique,Flag,North America,מַרְטִינִיק,martinik,,
🇲🇷,Flag: Mauritania,Flag,Africa,מָאוּרִיטַנְיָה,mauritanya,,
🇲🇸,Flag: Montserrat,Flag,North America,מוֹנְטְסֵרָאט,montserat,,
🇲🇹,Flag: Malta,Flag,Europe,מַלְטָה,malta,,
🇲🇺,Flag: Mauritius,Flag,Africa,מָאוּרִיציוּס,mauritzyus,,
🇲🇻,Flag: Maldives,Flag,Asia,אִיֵּי מַלְדִּיב,iyey maldiv,,
🇲🇼,Flag: Malawi,Flag,Africa,מָלָאוִי,malavi,,
🇲🇽,Flag: Mexico,Flag,North America,מֶקְסִיקוֹ,meksiko,,
🇲🇾,Flag: Malaysia,Flag,Asia,מָלֵזְיָה,malezya,,
🇲🇿,Flag: Mozambique,Flag,Africa,מוֹזָמְבִּיק,mozambik,,
🇳🇦,Flag: Namibia,Flag,Africa,נָמִיבְּיָה,namibya,,
🇳🇨,Flag: New Caledonia,Flag,Oceania,קָלֵדוֹנְיָה הַחֲדָשָׁה,kaledonya hachadasha,,
🇳🇪,Flag: Niger,Flag,Africa,נִיגֶ'ר,nige'r,,
🇳🇫,Flag: Norfolk Island,Flag,Oceania,אִי נוֹרְפוֹלְק,i norfolk,,
🇳🇬,Flag: Nigeria,Flag,Africa,נִיגֶּרְיָה,nigerya,,
🇳🇮,Flag: Nicaragua,Flag,North America,נִיקָרָגְוָה,nikaragva,,
🇳🇱,Flag: Netherlands,Flag,Europe,הוֹלַנְד,holand,,
🇳🇴,Flag: Norway,Flag,Europe,נוֹרְוֵגְיָה,norvegya,,
🇳🇵,Flag: Nepal,Flag,Asia,נֵפָּאל,nepal,,
🇳🇷,Flag: Nauru,Flag,Oceania,נָאוּרוּ,nauru,,
🇳🇺,Flag: Niue,Flag,Oceania,נִיאוּאֶה,niyue,,
🇳🇿,Flag: New Zealand,Flag,Oceania,נְיוּ זִילַנְד,neyu ziland,,
🇴🇲,Flag: Oman,Flag,Asia,עוּמָאן,uman,,
🇵🇦,Flag: Panama,Flag,North America,פָּנָמָה,panama,,
🇵🇪,Flag: Peru,Flag,South America,פֵּרוּ,peru,,
🇵🇫,Flag: French Polynesia,Flag,Oceania,פּוֹלִינֵזְיָה הַצָּרְפָתִית,polinezya hatzarfatit,,
🇵🇬,Flag: Papua New Guinea,Flag,Oceania,פַּפּוּאָה גִּינֵאָה הַחֲדָשָׁה,papua ginea hachadasha,,
🇵🇭,Flag: Philippines,Flag,Asia,הַפִילִיפִּינִים,hafilipinim,,
🇵🇰,Flag: Pakistan,Flag,Asia,פָּקִיסְטָן,pakistan,,
🇵🇱,Flag: Poland,Flag,Europe,פּוֹלִין,polin,,
🇵🇲,Flag: St. Pierre & Miquelon,Flag,North America,סֶן פְּיֵר וּמִיקְלוֹן,sen peyer umiklon,,
🇵🇳,Flag: Pitcairn Islands,Flag,Oceania,אִיֵּי פִּיטְקֵרְן,iyey pitkern,,
🇵🇷,Flag: Puerto Rico,Flag,North America,פּוּאֶרְטוֹ רִיקוֹ,puerto riko,,
🇵🇸,Flag: Palestinian Territories,Flag,Asia,הָרָשׁוּת הַפָּלֶסְטִינִית,harashut hapalestinit,,
🇵🇹,Flag: Portugal,Flag,Europe,פּוֹרְטוּגָל,portugal,,
🇵🇼,Flag: Palau,Flag,Special,פַּלָאוּ,palau,,
🇵🇾,Flag: Paraguay,Flag,South America,פָּרָגְוַאי,paragvay,,
🇶🇦,Flag: Qatar,Flag,Asia,קָטָאר,katar,,
🇷🇪,Flag: Réunion,Flag,Africa,רֵאוּנְיוֹן,reunyon,,
🇷🇴,Flag: Romania,Flag,Europe,רוֹמַנְיָה,romanya,,
🇷🇸,Flag: Serbia,Flag,Europe,סֶרְבְּיָה,serbya,,
🇷🇺,Flag: Russia,Flag,Europe,רוּסְיָה,rusya,,
🇷🇼,Flag: Rwanda,Flag,Africa,רְוַנְדָּה,revanda,,
🇸🇦,Flag: Saudi Arabia,Flag,Asia,עֲרַב הַסְעוּדִית,arav hasudit,,
🇸🇧,Flag: Solomon Islands,Flag,Oceania,אִיֵּי שְׁלֹמֹה,iyey shelomo,,
🇸🇨,Flag: Seychelles,Flag,Africa,סֵיישֶׁל,seyyshel,,
🇸🇩,Flag: Sudan,Flag,Africa,סוּדָן,sudan,,
🇸🇪,Flag: Sweden,Flag,Europe,שְׁוֵדְיָה,shevedya,,
🇸🇬,Flag: Singapore,Flag,Asia,סִינְגָּפּוּר,singapur,,
🇸🇭,Flag: St. Helena,Flag,Africa,סֶנְט הֵלֵנָה,sent helena,,
🇸🇮,Flag: Slovenia,Flag,Europe,סְלוֹבֶנְיָה,selovenya,,
🇸🇯,Flag: Svalbard & Jan Mayen,Flag,Europe,סְוָאלְבָּארְד וְיָאן מָאיֶן,sevalbard veyan mayen,,
🇸🇰,Flag: Slovakia,Flag,Europe,סְלוֹבַקְיָה,selovakya,,
🇸🇱,Flag: Sierra Leone,Flag,Africa,סְיֵרָה לֵאוֹנֶה,seyera leone,,
🇸🇲,Flag: San Marino,Flag,Europe,סָן מָרִינוֹ,san marino,,
🇸🇳,Flag: Senegal,Flag,Africa,סֵנֵגָל,senegal,,
🇸🇴,Flag: Somalia,Flag,Africa,סוֹמָלִיָּה,somaliya,,
🇸🇷,Flag: Suriname,Flag,South America,סוּרִינָאם,surinam,,
🇸🇸,Flag: South Sudan,Flag,Africa,דְּרוֹם סוּדָן,derom sudan,,
🇸🇹,Flag: São Tomé & Príncipe,Flag,Africa,סָאוֹ טוֹמֶה וּפְּרִינְסִיפֶּה,sao tome uprinsipe,,
🇸🇻,Flag: El Salvador,Flag,North America,אֶל סָלְוָדוֹר,el salvador,,
🇸🇽,Flag: Sint Maarten,Flag,North America,סִינְט מַרְטֶן,sint marten,,
🇸🇾,Flag: Syria,Flag,Asia,סוּרְיָה,surya,,
🇸🇿,Flag: Eswatini,Flag,Africa,אֶסְוָאטִינִי,esvatini,,
🇹🇦,Flag: Tristan da Cunha,Flag,Africa,טְרִיסְטָן דָּה קוּנְיָה,teristan da kunya,,
🇹🇨,Flag: Turks & Caicos Islands,Flag,North America,אִיֵּי טוּרְקְס וְקֵייקוֹס,iyey turks vekeyykos,,
🇹🇩,Flag: Chad,Flag,Africa,צָ'אד,tza'd,,
🇹🇫,Flag: French Southern Territories,Flag,Antarctica,הַטֶּרִיטוֹרְיוֹת הַצָּרְפָתִיּוֹת הַדְּרוֹמִיּוֹת,hateritoryot hatzarfatiyot hadromiyot,,
🇹🇬,Flag: Togo,Flag,Africa,טוֹגוֹ,togo,,
🇹🇭,Flag: Thailand,Flag,Asia,תַּאיְלַנְד,tayland,,
🇹🇯,Flag: Tajikistan,Flag,Asia,טַגִּ'יקִיסְטָן,tagi'ykistan,,
🇹🇰,Flag: Tokelau,Flag,Oceania,טוֹקֶלָאוּ,tokelau,,
🇹🇱,Flag: Timor-Leste,Flag,Asia,טִימוֹר הַמִּזְרָחִית,timor hamizrachit,,
🇹🇲,Flag: Turkmenistan,Flag,Asia,טוּרְקְמֶנִיסְטָן,turkmenistan,,
🇹🇳,Flag: Tunisia,Flag,Africa,תּוּנִיסְיָה,tunisya,,
🇹🇴,Flag: Tonga,Flag,Oceania,טוֹנְגָּה,tonga,,
🇹🇷,Flag: Turkey,Flag,Asia,טוּרְקִיָּה,turkiya,,
🇹🇹,Flag: Trinidad & Tobago,Flag,North America,טְרִינִידָד וְטוֹבָּגוֹ,terinidad vetobago,,
🇹🇻,Flag: Tuvalu,Flag,Oceania,טוּבָאלוּ,tuvalu,,
🇹🇼,Flag: Taiwan,Flag,Asia,טַאיוָאן,tayvan,,
🇹🇿,Flag: Tanzania,Flag,Africa,טַנְזַנְיָה,tanzanya,,
🇺🇦,Flag: Ukraine,Flag,Europe,אוּקְרָאִינָה,ukraina,,
🇺🇬,Flag: Uganda,Flag,Africa,אוּגַנְדָּה,uganda,,
🇺🇲,Flag: U.S. Outlying Islands,Flag,Oceania,אִיֵּי הָאוֹקְיָנוֹסִים שֶׁל אַרְצוֹת הַבְּרִית,iyey haokyanosim shel artzot habrit,,
🇺🇳,Flag: United Nations,Flag,International,הָאֻמּוֹת הַמְּאֻחָדוֹת,haumot hamuchadot,,
🇺🇸,Flag: United States,Flag,North America,אַרְצוֹת הַבְּרִית,artzot habrit,,
🇺🇾,Flag: Uruguay,Flag,South America,אוּרוּגְוַאי,urugvay,,
🇺🇿,Flag: Uzbekistan,Flag,Asia,אוּזְבֶּקִיסְטָן,uzbekistan,,
🇻🇦,Flag: Vatican City,Flag,Europe,הַוָּתִיקָן,havatikan,,
🇻🇨,Flag: St. Vincent & Grenadines,Flag,North America,סֶנְט וִינְסֶנְט,sent vinsent,,
🇻🇪,Flag: Venezuela,Flag,South America,וֵנֵצוּאֶלָה,venetzuela,,
🇻🇬,Flag: British Virgin Islands,Flag,North America,אִיֵּי הַבְּתוּלָה הַבְּרִיטִיִּים,iyey habtula habritiyim,,
🇻🇮,Flag: U.S. Virgin Islands,Flag,North America,אִיֵּי הַבְּתוּלָה הָאָמֵרִיקָאִיִּים,iyey habtula haamerikaiyim,,
🇻🇳,Flag: Vietnam,Flag,Asia,וְיֵטְנָאם,veyetnam,,
🇻🇺,Flag: Vanuatu,Flag,Oceania,וָנוּאָטוּ,vanuatu,,
🇼🇫,Flag: Wallis & Futuna,Flag,Oceania,וָאלִיס וְפוּטוּנָה,valis vefutuna,,
🇼🇸,Flag: Samoa,Flag,Oceania,סָמוֹאָה,samoa,,
🇽🇰,Flag: Kosovo,Flag,Europe,קוֹסוֹבוֹ,kosovo,,
🇾🇪,Flag: Yemen,Flag,Asia,תֵּימָן,teyman,,
🇾🇹,Flag: Mayotte,Flag,Africa,מָיוֹט,mayot,,
🇿🇦,Flag: South Africa,Flag,Africa,דְּרוֹם אַפְרִיקָה,derom afrika,,
🇿🇲,Flag: Zambia,Flag,Africa,זַמְבְּיָה,zambya,,
🇿🇼,Flag: Zimbabwe,Flag,Africa,זִימְבַּבְּוֵה,zimbabve,,
🏴󠁧󠁢󠁥󠁮󠁧󠁿,Flag: England,Flag,Subdivision,אַנְגְּלִיָּה,angliya,,
🏴󠁧󠁢󠁳󠁣󠁴󠁿,Flag: Scotland,Flag,Subdivision,סְקוֹטְלַנְד,sekotland,,
🏴󠁧󠁢󠁷󠁬󠁳󠁿,Flag: Wales,Flag,Subdivision,וֵילְס,veyls,,
❄️,Snow,Nature,Weather,שֶׁלֶג,sheleg,,
❄️,Snowflake,Symbol,Decorative,,,פְּתִית שֶׁלֶג,petit sheleg
🌟,Glowing Star,Nature,Astronomy,כּוֹכָב מַזְהִיר,kochav mazhir,,
🌟,Sparkle,Symbol,Decorative,נִיצוֹץ,nitzotz,,
🌳,Tree,Plant,Tree,עֵץ,etz,,
🌳,Forest,Nature,Landscape,יַעַר,yaar,,
🌲,Pine Tree,Plant,Tree,אוֹרֶן,oren,,
🌲,Pine Forest,Nature,Landscape,יַעַר אוֹרְנִים,yaar ornim,,
🌴,Palm Tree,Plant,Tree,דֶּקֶל,dekel,,
🌴,Beach,Nature,Landscape,חוֹף,chof,,
🌵,Cactus,Plant,Tree,קַקְטוּס,kaktus,,
🌵,Desert,Nature,Landscape,מִדְבָּר,midbar,,
🌾,Wheat Stalks,Plant,Other,,,שִׁבֳּלִים,shibolim
🌾,Wheat,Food,Other,,,חִטָּה,chita
🕊️,Dove,Animal,Bird,,,יוֹנָה,yona
🕊️,Peace Dove,Symbol,Decorative,,,יוֹנַת שָׁלוֹם,yonat shalom
💎,Diamond,Object,Jewelry,,,יַהֲלוֹם,yahalom
💎,Gem,Symbol,Decorative,,,אֶבֶן יְקָרָה,even yekara
💀,Skull,Emotion,Creature,,,גֻּלְגֹּלֶת,gulgolet
💀,Danger,Symbol,Warning,,,סַכָּנָה,sakana
☠️,Skull and Crossbones,Emotion,Creature,,,גֻּלְגֹּלֶת וַעֲצָמוֹת,gulgolet vaatzamot
☠️,Poison,Symbol,Warning,רַעַל,raal,,
🔥,Fire,Nature,Landscape,,,אֵשׁ,esh
🔥,Hot,Symbol,Warning,חַם,cham,,
🕍,Synagogue,Place,Building,בֵּית כְּנֶסֶת,beit knesset,,
🕍,Judaism,Religion,Religion,,,יַהֲדוּת,yahadut
⛪,Church,Place,Building,,,כְּנֵסִיָּה,kenesiya
⛪,Christianity,Religion,Religion,,,נַצְרוּת,natzrut
🕌,Mosque,Place,Building,מִסְגָּד,misgad,,
🕌,Islam,Religion,Religion,אִסְלָאם,islam,,
🕋,Kaaba,Place,Building,אַלכַּעבָּה,alkaba,,
🕋,Pilgrimage,Religion,Religion,,,עֲלִיָּה לָרֶגֶל,aliya laregel
⛩️,Shinto Shrine,Place,Building,מִקְדָּשׁ שִׁינְטּוֹ,mikdash shinto,,
⛩️,Shinto,Religion,Religion,שִׁינְטּוֹאִיזְם,shintoizm,,
🛕,Hindu Temple,Place,Building,מִקְדָּשׁ הִינְדִּי,mikdash hindi,,
🛕,Hinduism,Religion,Religion,הִינְדּוּאִיזְם,hinduizm,,
💒,Wedding Chapel,Place,Building,,,קָפֶּלָה,kapela
💒,Marriage,Religion,Religion,נִשּׂוּאִין,nisuin,,
💰,Money Bag,Object,Money,שַׂק כֶּסֶף,sak kesef,,
💰,Money,Symbol,Currency,כֶּסֶף,kesef,,
💵,Dollar Bill,Object,Money,,,שְׁטָר דּוֹלָר,shetar dolar
💵,Dollar,Symbol,Currency,דּוֹלָר,dolar,,
💳,Credit Card,Object,Money,,,כַּרְטִיס אַשְׁרַאי,kartis ashray
💳,Payment,Symbol,Currency,תַּשְׁלוּם,tashlum,,
